crc.id,sex,swfsc.id,biopsy.id,date.biopsy,age.best,age.confidence,age.min,age.max,pair.id
HIPc015,Male,49052,MAC20050807.31,8/7/05,34,4,29,49,
HIPc101,Female,18943,RWB001205,12/9/00,10,3,7,17,1
HIPc101,Female,91085,RWB2009Dec19.06,12/19/09,19,3,16,26,1
HIPc102,Male,18944,RWB001206,12/9/00,10,3,6,30,2
HIPc102,Male,75663,RWB2008JUL16.04,7/16/08,18,3,14,38,
HIPc103,Female,18945,RWB001207,12/9/00,22,3,18,42,
HIPc105,Female,198377,RWB2019MAR15.04,3/15/19,35,3,31,55,
HIPc106,Female,98740,RWB2010Aug11.07,8/11/10,17,4,14,22,
HIPc114,Male,23319,RWB010206,2/28/01,26,4,21,41,3
HIPc114,Male,132658,RWB2011AUG25.01,8/25/11,36,4,31,51,3
HIPc115,Male,98735,RWB2010AUG11.02,8/11/10,30,4,25,45,
HIPc116,Female,132662,RWB2011Aug25.05,8/25/11,31,3,27,51,
HIPc117,Female,75665,RWB2008Jul16.06,7/16/08,27,3,23,47,
HIPc120,Female,132659,RWB2011AUG25.02,8/25/11,27,3,23,47,
HIPc129,Male,41286,HMMC040316.01,3/16/04,28,3,18,48,4
HIPc129,Male,198475,RWB2016OCT19.02,10/19/16,40,3,30,60,4
HIPc132,Male,23317,RWB010204,2/28/01,25,3,20,45,
HIPc133,Male,98738,RWB2010AUG11.05,8/11/10,19,4,16,24,
HIPc149,Male,49048,MAC20050807.27,8/7/05,11,2,8,21,
HIPc151,Male,30073,RWB300902.02,9/30/02,15,3,10,35,5
HIPc151,Male,186435,OES171008.05s,10/8/17,30,3,25,50,5
HIPc155,Female,27453,RWB020501.05,5/1/02,6,3,3,13,
HIPc162,Male,33906,RWB260503.A06,5/26/03,15,5,10,25,6
HIPc162,Male,198473,KW2013018,10/6/13,25,5,20,35,6
HIPc164,Male,33908,RWB260503.A08,5/26/03,6,5,3,11,7
HIPc164,Male,198474,KW2016016,9/28/16,19,5,16,24,7
HIPc168,Female,102484,RWB2010OCT15.02,10/15/10,13,3,10,20,8
HIPc168,Female,33888,RWB260503.W11,5/26/03,6,3,3,13,8
HIPc169,Male,33898,RWB260503.W21,5/26/03,10,3,6,30,
HIPc172,Male,33893,RWB260503.W16,5/26/03,15,2,10,58,
