"","crc.id","swfsc.labid","age.class","sex","biopsy.id","date.biopsy","age.best","age.confidence","age.min","age.max","pair.id"
"1","HIPc015","z0049052","adult-PM","Male","MAC20050807.31","7-Aug-05",34,4,28,49,NA
"2","HIPc101","z0018943","adult","Female","RWB001205","9-Dec-00",11,2,7,44,1
"3","HIPc101","z0091085","adult","Female","RWB2009Dec19.06","19-Dec-09",20,3,16,40,1
"4","HIPc102","z0018944","adult-SM","Male","RWB001206","9-Dec-00",15,2,9,50,2
"5","HIPc102","z0075663","adult-SM","Male","RWB2008JUL16.04","16-Jul-08",23,3,17,58,NA
"6","HIPc103","z0018945","adult","Female","RWB001207","9-Dec-00",22,3,18,42,NA
"7","HIPc105","z0198377","adult","Female","RWB2019MAR15.04","15-Mar-19",35,3,31,55,NA
"8","HIPc106","z0098740","adult","Female","RWB2010Aug11.07","11-Aug-10",17,4,14,32,NA
"9","HIPc114","z0023319","adult-PM","Male","RWB010206","28-Feb-01",26,3,20,46,3
"10","HIPc114","z0132658","adult-PM","Male","RWB2011AUG25.01","25-Aug-11",36,4,30,51,3
"11","HIPc115","z0098735","adult-PM","Male","RWB2010AUG11.02","11-Aug-10",29,4,29,44,NA
"12","HIPc116","z0132662","adult","Female","RWB2011Aug25.05","25-Aug-11",31,3,27,51,NA
"13","HIPc117","z0075665","adult","Female","RWB2008Jul16.06","16-Jul-08",27,3,23,47,NA
"14","HIPc120","z0132659","adult","Female","RWB2011AUG25.02","25-Aug-11",29,3,25,49,NA
"15","HIPc129","z0041286","adult-PM","Male","HMMC040316.01","16-Mar-04",28,2,18,53,4
"16","HIPc129","z0198475","adult-PM","Male","RWB2016OCT19.02","19-Oct-16",40,3,30,60,4
"17","HIPc132","z0023317","adult-PM","Male","RWB010204","28-Feb-01",25,3,19,45,NA
"18","HIPc133","z0098738","adult-SM","Male","RWB2010AUG11.05","11-Aug-10",19,4,17,34,NA
"19","HIPc149","z0049048","sub-adult","Male","MAC20050807.27","7-Aug-05",11,3,9,16,NA
"20","HIPc151","z0030073","adult-SM","Male","RWB300902.02","30-Sep-02",15,2,9,48,5
"21","HIPc151","z0186435","adult-PM","Male","OES171008.05s","8-Oct-17",30,3,24,50,5
"22","HIPc155","z0027453","adult","Female","RWB020501.05","1-May-02",13,3,10,33,NA
"23","HIPc162","z0033906","sub-adult","Male","RWB260503.A06","26-May-03",12,5,6,15,6
"24","HIPc162","z0198473","adult-SM","Male","KW2013018","6-Oct-13",22,5,16,32,6
"25","HIPc164","z0033908","sub-adult","Male","RWB260503.A08","26-May-03",12,2,6,22,7
"26","HIPc164","z0198474","adult-PM","Male","KW2016016","28-Sep-16",25,3,19,45,7
"27","HIPc168","z0102484","adult","Female","RWB2010OCT15.02","15-Oct-10",17,2,13,65,8
"28","HIPc168","z0033888","adult","Female","RWB260503.W11","26-May-03",30,1,10,58,8
"29","HIPc169","z0033898","adult-SM","Male","RWB260503.W21","26-May-03",15,2,9,55,NA
"30","HIPc172","z0033893","adult-SM","Male","RWB260503.W16","26-May-03",15,2,9,58,NA
"32","HIPc178","z0045931","sub-adult","Male","RWB130904.06","13-Sep-04",9,3,7,14,NA
"33","HIPc179","z0075660","adult-SM","Male","RWB2008JUL16.01","16-Jul-08",18,4,12,33,NA
"34","HIPc181","z0132660","adult-PM","Male","RWB2011AUG25.03","25-Aug-11",27,4,21,42,NA
"36","HIPc190","z0045921","adult","Female","RWB061004.01","6-Oct-04",30,1,10,48,9
"37","HIPc193","z0027455","adult","Female","RWB020501.07","1-May-02",10,2,6,46,NA
"38","HIPc196","z0049050","sub-adult","Male","MAC20050807.29","7-Aug-05",10,3,4,15,NA
"39","HIPc197","z0045925","adult-PM","Male","RWB081204.01","8-Dec-04",27,4,21,42,NA
"40","HIPc197","z0061425","adult-PM","Male","RWB2006NOV16.01","16-Nov-06",29,4,23,44,NA
"41","HIPc198","z0160208","adult","Female","KW2015015","7-Nov-15",21,5,17,31,NA
"42","HIPc199","z0123188","adult","Female","KW2010019","27-Nov-10",24,5,20,34,NA
"43","HIPc200","z0102485","adult-SM","Male","RWB2010OCT15.03","15-Oct-10",21,2,15,65,NA
"44","HIPc202","z0175874","adult-SM","Male","RWB2016OCT19.01","19-Oct-16",19,4,17,34,NA
"45","HIPc203","z0098736","adult","Female","RWB2010Aug11.03","11-Aug-10",15,3,12,35,NA
"46","HIPc204","z0098734","adult-SM","Male","RWB2010AUG11.01","11-Aug-10",22,4,16,37,NA
"47","HIPc205","z0102500","sub-adult","Male","RWB2010OCT22.01","22-Oct-10",12,4,10,15,NA
"48","HIPc207","z0098746","adult-PM","Male","RWB2010AUG14.07","14-Aug-10",32,4,30,47,NA
"49","HIPc208","z0023321","adult","Female","RWB010208","28-Feb-01",11,3,8,31,NA
"50","HIPc210","z0023316","adult-PM","Male","RWB010203","28-Feb-01",38,1,6,45,10
"51","HIPc210","z0091286","adult-PM","Male","RWB2009Dec18.05","18-Dec-09",46,2,14,53,10
"52","HIPc211","z0132641","adult-SM","Male","RWB2011AUG20.11","20-Aug-11",21,3,15,41,NA
"53","HIPc214","z0075676","sub-adult","Female","RWB2008JUL26.01","26-Jul-08",9,4,6,12,NA
"54","HIPc216","z0175877","adult","Female","RWB2016OCT23.01","23-Oct-16",32,4,28,52,NA
"55","HIPc217","z0071016","sub-adult","Male","RWB2007AUG15.02","15-Aug-07",11,3,5,16,NA
"56","HIPc221","z0049051","adult","Female","MAC20050807.30","7-Aug-05",37,4,33,51,NA
"57","HIPc223","z0186434","adult-PM","Male","OES171008.04s","8-Oct-17",27,3,21,47,NA
