parent,offspring,method
HIPc015,HIPc384,g
HIPc103,HIPc574,p
HIPc106,HIPc635,p
HIPc106,HIPc896,p
HIPc120,HIPc312,g
HIPc132,HIPc281,g
HIPc132,HIPc367,g
HIPc155,HIPc416,p
HIPc155,HIPc842,p
HIPc157,HIPc164,g
HIPc173,HIPc407,p
HIPc173,HIPc718,p
HIPc158,HIPc178,g
HIPc199,HIPc193,g
HIPc163,HIPc203,g
HIPc203,HIPc913,p
HIPc221,HIPc207,g
HIPc210,HIPc207,g
HIPc208,HIPc221,p
HIPc208,HIPc717,p
HIPc212,HIPc214,g
HIPc214,HIPc641,p
HIPc214,HIPc917,p
HIPc216,HIPc310,g
HIPc216,HIPc808,p
HIPc230,HIPc382,g
HIPc212,HIPc281,g
HIPc281,HIPc132,g
HIPc145,HIPc320,p
HIPc208,HIPc363,p
HIPc379,HIPc396,g
HIPc230,HIPc384,g
HIPc220,HIPc397,g
HIPc397,HIPc160,g
HIPc353,HIPc699,p
HIPc266,HIPc704,p
