,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age
1,best,2,4.82,2.29,1.78,44.52,5.27,2.53,0.66
2,best,3,4.66,3.09,1.55,37.16,9.58,4.11,0.81
3,best,4,5.20,4.53,2.33,43.24,20.57,9.06,0.82
4,best,5,4.37,2.75,1.94,34.29,7.54,4.37,0.80
5,best,All,4.81,3.46,1.97,39.57,12.00,6.01,0.76
6,ran.age,2,10.30,6.76,3.38,201.01,45.74,22.86,0.34
7,ran.age,3,6.80,4.86,2.43,84.52,23.66,11.83,0.76
8,ran.age,4,6.06,4.68,2.34,64.23,21.93,10.96,0.80
9,ran.age,5,5.03,3.55,2.21,47.23,12.61,6.30,0.77
10,ran.age,All,6.57,4.62,2.31,82.79,21.34,10.67,0.68
11,ran.age.meth,2,10.48,6.90,3.45,207.70,47.66,23.83,0.31
12,ran.age.meth,3,6.98,5.05,2.53,88.60,25.49,12.74,0.74
13,ran.age.meth,4,6.20,4.68,2.35,67.41,21.92,10.96,0.79
14,ran.age.meth,5,5.28,3.72,2.17,51.53,13.85,6.92,0.75
15,ran.age.meth,All,6.75,4.74,2.37,86.89,22.50,11.25,0.66
