,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age
1,best,2,6.56,4.30,5.48,87.89,18.53,9.48,0.36
2,best,3,5.72,5.29,6.53,50.27,28.07,12.50,0.71
3,best,4,4.78,3.47,1.76,38.74,12.08,5.40,0.87
4,best,5,4.06,2.71,1.49,35.85,7.34,3.72,0.76
5,best,All,5.15,4.30,2.30,47.47,18.53,9.26,0.70
6,ran.age,2,10.92,7.19,3.63,223.99,51.70,25.84,0.22
7,ran.age,3,7.57,5.87,2.94,100.94,34.47,17.23,0.67
8,ran.age,4,5.87,4.41,2.21,63.38,19.48,9.74,0.83
9,ran.age,5,4.57,2.84,1.42,46.41,8.04,4.02,0.72
10,ran.age,All,6.74,4.58,2.29,90.35,20.97,10.48,0.65
11,ran.age.meth,2,11.08,7.50,3.75,227.40,56.22,28.10,0.19
12,ran.age.meth,3,7.75,5.93,2.97,105.36,35.19,17.59,0.67
13,ran.age.meth,4,6.14,4.59,2.29,68.17,21.02,10.51,0.82
14,ran.age.meth,5,4.69,3.03,1.51,47.85,9.15,4.58,0.71
15,ran.age.meth,All,6.94,4.79,2.40,94.20,22.97,11.48,0.63
