,type,age.confidence,mean.dev,median.dev,mode.dev,mean.se,median.se,mode.se,cor.age
1,best,2,5.38,4.30,4.40,39.26,18.50,19.56,0.70
2,best,3,7.10,6.18,4.63,73.15,38.14,18.40,0.57
3,best,4,4.31,3.87,5.21,26.15,15.00,6.89,0.88
4,best,5,3.96,2.56,1.75,31.57,6.53,3.42,0.71
5,best,All,5.29,4.44,4.07,44.36,19.71,9.58,0.73
6,ran.age,2,10.56,6.98,3.49,216.99,48.76,24.36,0.33
7,ran.age,3,9.39,7.77,4.95,141.50,60.30,30.15,0.49
8,ran.age,4,5.36,4.65,2.44,44.43,21.65,10.83,0.84
9,ran.age,5,4.84,3.51,1.76,44.73,12.32,6.16,0.66
10,ran.age,All,7.18,5.43,2.71,96.02,29.44,14.72,0.63
11,ran.age.meth,2,11.13,7.55,3.78,234.42,57.07,28.53,0.26
12,ran.age.meth,3,9.39,7.53,3.76,146.66,56.63,28.31,0.47
13,ran.age.meth,4,6.42,5.19,2.60,67.92,26.99,13.49,0.74
14,ran.age.meth,5,6.10,4.59,2.30,66.68,21.05,10.52,0.59
15,ran.age.meth,All,7.87,5.93,2.96,112.42,35.11,17.55,0.56
