model,weight,training.cr,site.select.regr.meth,site.select.cr,site.select.params
1,none,2,glmnet,2,1
2,none,3,glmnet,2,1
3,none,4,glmnet,2,1
4,linear,2,glmnet,2,2
5,linear,3,glmnet,2,2
6,linear,4,glmnet,2,2
7,CRC,2,glmnet,2,3
8,CRC,3,glmnet,2,3
9,CRC,4,glmnet,2,3
10,none,2,glmnet,3,4
11,none,3,glmnet,3,4
12,none,4,glmnet,3,4
13,linear,2,glmnet,3,5
14,linear,3,glmnet,3,5
15,linear,4,glmnet,3,5
16,CRC,2,glmnet,3,6
17,CRC,3,glmnet,3,6
18,CRC,4,glmnet,3,6
19,none,2,glmnet,4,7
20,none,3,glmnet,4,7
21,none,4,glmnet,4,7
22,linear,2,glmnet,4,8
23,linear,3,glmnet,4,8
24,linear,4,glmnet,4,8
25,CRC,2,glmnet,4,9
26,CRC,3,glmnet,4,9
27,CRC,4,glmnet,4,9
28,none,2,none,none,19
29,none,3,none,none,19
30,none,4,none,none,19
31,linear,2,none,none,19
32,linear,3,none,none,19
33,linear,4,none,none,19
34,CRC,2,none,none,19
35,CRC,3,none,none,19
36,CRC,4,none,none,19
37,none,2,rf,2,10
38,none,3,rf,2,10
39,none,4,rf,2,10
40,linear,2,rf,2,11
41,linear,3,rf,2,11
42,linear,4,rf,2,11
43,CRC,2,rf,2,12
44,CRC,3,rf,2,12
45,CRC,4,rf,2,12
46,none,2,rf,3,13
47,none,3,rf,3,13
48,none,4,rf,3,13
49,linear,2,rf,3,14
50,linear,3,rf,3,14
51,linear,4,rf,3,14
52,CRC,2,rf,3,15
53,CRC,3,rf,3,15
54,CRC,4,rf,3,15
55,none,2,rf,4,16
56,none,3,rf,4,16
57,none,4,rf,4,16
58,linear,2,rf,4,17
59,linear,3,rf,4,17
60,linear,4,rf,4,17
61,CRC,2,rf,4,18
62,CRC,3,rf,4,18
63,CRC,4,rf,4,18
