training.set,weight,minCR,sites2use
1,none,2,all
2,none,3,all
3,none,4,all
4,none,2,train2
5,none,3,train2
6,none,4,train2
7,none,2,train3
8,none,3,train3
9,none,4,train3
10,linear,2,all
11,linear,3,all
12,linear,4,all
13,linear,2,train11
14,linear,3,train11
15,linear,4,train11
16,linear,2,train12
17,linear,3,train12
18,linear,4,train12
19,CRC,2,all
20,CRC,3,all
21,CRC,4,all
22,CRC,2,train20
23,CRC,3,train20
24,CRC,4,train20
25,CRC,2,train21
26,CRC,3,train21
27,CRC,4,train21
