Absolute value Pearson's correlation coefficient,Age,Sex,Social Cluster,DIRAS3,FLJ0945,GRIA2,HMG20B,KCNC4,PRDM12,TET2,VGF
0,49,109,123,0.090,0.165,0.000,0.400,0.006,0.133,0.000,0.523
0.1,55,49,51,0.037,0.209,0.000,0.308,0.023,0.237,0.048,0.290
0.2,38,24,9,0.058,0.099,0.000,0.075,0.063,0.321,0.190,0.146
0.3,22,2,1,0.119,0.077,0.033,0.058,0.077,0.178,0.000,0.034
0.4,6,0,0,0.161,0.176,0.033,0.058,0.095,0.096,0.190,0.008
0.5,5,0,0,0.098,0.143,0.242,0.042,0.140,0.027,0.048,0.000
0.6,9,0,0,0.101,0.077,0.209,0.025,0.126,0.008,0.190,0.000
0.7,0,0,0,0.122,0.044,0.253,0.025,0.120,0.000,0.238,0.000
0.8,0,0,0,0.148,0.011,0.220,0.008,0.257,0.000,0.048,0.000
0.9,0,0,0,0.066,0.000,0.011,0.000,0.095,0.000,0.048,0.000
