unweighted.CR,unweighted.MAE,unweighted.cor,weighted.MAE,weighted.cor,,,,,,,Confidence rating,,
2,5.34,0.23,4.49,0.33,,,,Samples in model,,2,3,4,5
3,5.23,0.71,5.06,0.71,,,Unweighted,All,MAE,5.34,5.23,5.44,4.2
4,5.44,0.76,5.15,0.83,,,,,Corr,0.23,0.71,0.76,0.79
5,4.2,0.79,3.72,0.77,,,,CR >= 3,MAE,--,5.29,4.74,3.75
,,,,,,,,,Corr,--,0.76,0.82,0.81
3,5.29,0.76,5.03,0.69,,,,CR >= 4,MAE,--,--,4.93,4.24
4,4.74,0.82,4.68,0.81,,,,,Corr,--,--,0.82,0.81
5,3.75,0.81,3.63,0.79,,,Weighted,All,MAE,4.49,5.06,5.15,3.72
,,,,,,,,,Corr,0.33,0.71,0.83,0.77
,,,,,,,,CR >= 3,MAE,--,5.03,4.68,3.63
4,4.93,0.82,4.77,0.79,,,,,Corr,--,0.69,0.81,0.79
5,4.24,0.81,3.14,0.77,,,,CR >= 4,MAE,--,--,4.77,3.14
,,,,,,,,,Corr,--,--,0.79,0.77
,,,,,,,,,,,,,
,,Confidence rating,,,,,,,,,,,
,,4,,5,,,,,,,,,
,Samples in model,MAE,Corr,MAE,Corr,,,,,,,,
Unweighted,All,5.44,0.76,4.2,0.79,,,,,,,,
,CR >= 3,4.74,0.82,3.75,0.81,,,,,,,,
,CR >= 4,4.93,0.82,4.24,0.81,,,,,,,,
Weighted,All,5.15,0.83,3.72,0.77,,,,,,,,
,CR >= 3,4.68,0.81,3.63,0.79,,,,,,,,
,CR >= 4,4.77,0.79,3.14,0.77,,,,,,,,
