"i","CR","MAE","corr.cor"
1,"2",6.01076523675391,0.55
1,"3",4.10749171765668,0.8
1,"4",3.87973412837142,0.86
1,"5",2.6510912353754,0.84
1,"4&5",3.51472971771533,0.78
2,"3",4.38150735089832,0.8
2,"4",4.3673950145035,0.83
2,"5",2.97111747325755,0.84
2,"4&5",4.0513310374855,0.76
3,"4",5.08873788988563,0.74
3,"5",4.38715914007133,0.82
3,"4&5",4.41255405142604,0.67
4,"2",5.33855679504564,0.53
4,"3",5.18798221814524,0.76
4,"4",3.7237552699545,0.9
4,"5",4.34606796022661,0.78
4,"4&5",3.93504339953683,0.81
5,"3",4.15341202741225,0.75
5,"4",3.60602647037576,0.89
5,"5",4.98927662383792,0.78
5,"4&5",4.1755639213978,0.8
6,"4",3.4651326069141,0.86
6,"5",4.3997144020967,0.73
6,"4&5",3.79732403999638,0.8
7,"2",6.27795914383522,0.38
7,"3",5.58813760222455,0.72
7,"4",3.68158014695454,0.91
7,"5",4.82692646789321,0.8
7,"4&5",3.88904021566187,0.84
8,"3",6.13961601268691,0.72
8,"4",3.49687890254459,0.91
8,"5",4.31577926815916,0.81
8,"4&5",3.60067997276996,0.85
9,"4",4.28391987668182,0.87
9,"5",3.9268384382756,0.76
9,"4&5",4.28391987668182,0.83
10,"2",5.47269187261083,0.29
10,"3",4.1286292926324,0.75
10,"4",4.21105963899276,0.85
10,"5",4.58429812541526,0.8
10,"4&5",4.57329201863794,0.74
11,"3",4.09921369995772,0.83
11,"4",3.38418648601072,0.89
11,"5",3.3129131817578,0.87
11,"4&5",3.38418648601072,0.85
12,"4",3.17079711603695,0.91
12,"5",3.86980136608205,0.83
12,"4&5",3.52588029845035,0.86
13,"2",4.85129670389253,0.27
13,"3",4.13190561579187,0.8
13,"4",4.12203860642952,0.89
13,"5",3.64028140775874,0.83
13,"4&5",3.90185111021233,0.82
14,"3",4.40919092529326,0.82
14,"4",3.1534497297956,0.9
14,"5",3.08682792109564,0.87
14,"4&5",3.1534497297956,0.87
15,"4",3.66194871962494,0.86
15,"5",3.64065350536018,0.83
15,"4&5",3.66194871962494,0.84
16,"2",5.10671576031095,0.32
16,"3",3.65247561701592,0.81
16,"4",3.8468496021918,0.9
16,"5",2.98246832313247,0.86
16,"4&5",3.66992543421859,0.85
17,"3",3.15783427474978,0.82
17,"4",3.20540554259688,0.9
17,"5",2.36349912398456,0.87
17,"4&5",2.68215485772082,0.87
18,"4",3.77339191108377,0.88
18,"5",2.60263931812478,0.86
18,"4&5",3.36964338202095,0.86
19,"2",4.71480378624352,0.1
19,"3",5.9372379186742,0.53
19,"4",4.44011004845497,0.76
19,"5",4.41518011310505,0.8
19,"4&5",4.43126654494075,0.71
20,"3",4.59472657637935,0.7
20,"4",3.69301304425088,0.91
20,"5",2.08112870804843,0.85
20,"4&5",3.16218877299263,0.83
21,"4",2.54480832684934,0.94
21,"5",1.74919919892731,0.82
21,"4&5",2.16110457949518,0.91
22,"2",4.93813063033938,0.32
22,"3",5.03042204267642,0.65
22,"4",4.16048089696812,0.9
22,"5",2.40515822210152,0.88
22,"4&5",3.4193585043496,0.84
23,"3",5.42833299270588,0.68
23,"4",4.25913497428291,0.9
23,"5",2.42090020454407,0.86
23,"4&5",3.32571259298948,0.84
24,"4",2.59820000266222,0.91
24,"5",2.85004422598043,0.82
24,"4&5",2.76769642696513,0.9
25,"2",5.24810355800397,0.33
25,"3",5.03565459949186,0.67
