"training.set","CR","MAE","corr.cor"
1,"2",3.04163910786389,0.52
1,"3",3.0870646766169,0.75
1,"4",4.4637510589638,0.81
1,"5",2.33142947235262,0.76
1,"4&5",3.92927858126722,0.74
2,"3",3.48036122542291,0.75
2,"4",4.74736568345853,0.81
2,"5",2.6363021491551,0.78
2,"4&5",3.58561613475174,0.75
3,"4",4.98727264707713,0.82
3,"5",3.8772357565219,0.76
3,"4&5",4.38071626086332,0.75
4,"2",2.44551114341085,0.57
4,"3",2.96311239193084,0.79
4,"4",4.39207603579017,0.87
4,"5",1.9812354628735,0.77
4,"4&5",3.36071875094739,0.8
5,"3",2.76328405017917,0.79
5,"4",3.89606362507511,0.86
5,"5",2.38446588391036,0.79
5,"4&5",3.27022624968173,0.79
6,"4",4.30427348280956,0.84
6,"5",3.01619781866639,0.79
6,"4&5",3.46965613436061,0.77
7,"2",3.70916111010991,0.56
7,"3",4.57180381218035,0.69
7,"4",4.75120306506082,0.85
7,"5",3.16032333190534,0.82
7,"4&5",3.88505039751799,0.8
8,"3",4.42357889949978,0.69
8,"4",4.18191733941732,0.85
8,"5",3.01929259704499,0.83
8,"4&5",3.37979458041956,0.81
9,"4",4.14034305923959,0.85
9,"5",3.90438735085755,0.81
9,"4&5",4.06142590449741,0.81
10,"2",3.21060186917078,0.52
10,"3",3.30521184851895,0.75
10,"4",4.55065056978106,0.81
10,"5",2.72486045601036,0.76
10,"4&5",3.91636943832886,0.74
11,"3",3.8613555078683,0.74
11,"4",4.83509896536209,0.82
11,"5",2.48941172938769,0.78
11,"4&5",3.91783747964006,0.75
12,"4",4.99372277190586,0.82
12,"5",3.76467183075124,0.75
12,"4&5",4.35474421228422,0.75
13,"2",2.97699345572872,0.57
13,"3",2.87690394182926,0.79
13,"4",4.28961494384506,0.88
13,"5",2.49733736242136,0.79
13,"4&5",3.33033185824103,0.81
14,"3",3.21073837415683,0.79
14,"4",4.02291463180308,0.87
14,"5",2.44411303742356,0.79
14,"4&5",3.30711646433208,0.8
15,"4",4.37622427426512,0.83
15,"5",2.55581621772734,0.8
15,"4&5",3.84014083479731,0.78
16,"2",3.61964887437304,0.56
16,"3",4.93176605504591,0.69
16,"4",4.49827619717625,0.85
16,"5",3.03324125946681,0.83
16,"4&5",3.61827171206212,0.81
17,"3",4.60392699115048,0.7
17,"4",4.36022468510645,0.85
17,"5",3.17688080109009,0.84
17,"4&5",3.45775179967155,0.81
18,"4",4.58325451842692,0.85
18,"5",3.46451554635395,0.81
18,"4&5",3.61184558950222,0.8
19,"2",3.07461877417647,0.53
19,"3",3.7375472411186,0.74
19,"4",4.61817737511672,0.81
19,"5",2.75797388411518,0.77
19,"4&5",3.66349781210817,0.75
20,"3",3.6631671968893,0.74
20,"4",4.7194178504623,0.81
20,"5",2.39092149195262,0.78
20,"4&5",3.63847780707537,0.75
21,"4",5.1289493274346,0.82
21,"5",3.67806747412272,0.77
21,"4&5",4.30356701980331,0.75
22,"2",2.86843371586688,0.59
22,"3",2.93685756240826,0.79
22,"4",4.58449989908943,0.86
22,"5",2.40387037731332,0.77
22,"4&5",3.52715814518033,0.79
23,"3",3.0529274783766,0.8
23,"4",4.32169255802067,0.86
23,"5",2.21479248915854,0.8
23,"4&5",3.46567377224098,0.79
24,"4",4.63422010465257,0.83
24,"5",2.76502284200792,0.77
24,"4&5",4.11261764846015,0.77
25,"2",3.4858967614669,0.57
25,"3",4.28662706983436,0.73
25,"4",4.87675031349751,0.86
25,"5",2.89383484669394,0.83
25,"4&5",3.93136168514708,0.81
26,"3",4.25847427766035,0.71
26,"4",4.55381102024333,0.86
26,"5",2.98597268912404,0.84
26,"4&5",3.5986748467503,0.81
27,"4",4.61059288128889,0.87
27,"5",3.46050257470116,0.82
27,"4&5",3.55081903904521,0.82
