"i","CR","MAE","corr.cor"
1,"2",3.00839251336898,0.62
1,"3",3.13310814491158,0.81
1,"4",4.11397382153223,0.87
1,"5",2.23454782196969,0.78
1,"4&5",3.57288283961041,0.79
2,"3",3.23450910241288,0.81
2,"4",3.69565645094964,0.85
2,"5",2.16194398738519,0.78
2,"4&5",3.3586498764268,0.77
3,"4",4.31900581212202,0.83
3,"5",2.78869807178795,0.78
3,"4&5",3.75098944721629,0.76
4,"2",3.03474634916692,0.62
4,"3",3.21184159938479,0.79
4,"4",4.34691974208991,0.85
4,"5",2.35636475137051,0.76
4,"4&5",3.36152861697919,0.78
5,"3",3.27467656012179,0.79
5,"4",4.23630415192422,0.85
5,"5",2.67578775732191,0.77
5,"4&5",3.81778159106877,0.77
6,"4",4.13737182699788,0.85
6,"5",2.91022625902194,0.76
6,"4&5",3.77551897774644,0.77
7,"2",2.95559908750005,0.59
7,"3",3.58846153846155,0.79
7,"4",4.32851168924354,0.86
7,"5",2.55703578415582,0.8
7,"4&5",3.54514300948094,0.8
8,"3",3.38533475026569,0.79
8,"4",4.20769920245847,0.86
8,"5",2.39590760939905,0.81
8,"4&5",3.74127079293803,0.8
9,"4",4.36597732820603,0.84
9,"5",2.50181369855287,0.79
9,"4&5",3.94971644470926,0.78
10,"2",2.62824413973568,0.58
10,"3",2.73788282290283,0.8
10,"4",4.56128093238657,0.87
10,"5",2.18469778429456,0.78
10,"4&5",3.48339524623494,0.8
11,"3",3.01294855166447,0.79
11,"4",3.97816381039595,0.86
11,"5",2.47558741274343,0.8
11,"4&5",3.39536532400162,0.79
12,"4",4.37759150207975,0.83
12,"5",2.8793211898616,0.78
12,"4&5",3.80960210832435,0.77
13,"2",2.89542459606549,0.58
13,"3",2.90323767476081,0.8
13,"4",4.65612194271199,0.87
13,"5",2.51597935914736,0.78
13,"4&5",3.4748259864279,0.8
14,"3",2.95547996976573,0.79
14,"4",4.13402401946904,0.87
14,"5",2.41562386156646,0.79
14,"4&5",3.57259199009338,0.8
15,"4",4.26840309177887,0.84
15,"5",2.72048328914122,0.78
15,"4&5",3.77990773329648,0.77
16,"2",2.97855517555857,0.59
16,"3",2.62775263951739,0.81
16,"4",4.71033283344928,0.86
16,"5",2.53530107826268,0.77
16,"4&5",3.48465665629004,0.79
17,"3",3.18024425287361,0.8
17,"4",4.53186979298094,0.86
17,"5",2.35413559020729,0.79
17,"4&5",3.65741788911111,0.79
18,"4",4.51429463107549,0.83
18,"5",2.61899983019892,0.79
18,"4&5",3.78908293320059,0.78
19,"2",3.5238284722097,0.57
19,"3",4.79105578607653,0.67
19,"4",4.76579497907949,0.84
19,"5",3.24051096500833,0.82
19,"4&5",3.74335556522156,0.8
20,"3",4.64042457091235,0.69
20,"4",3.99228935880676,0.84
20,"5",3.12370881380816,0.82
20,"4&5",3.30261450445168,0.81
21,"4",4.23069260378721,0.85
21,"5",3.60955716731801,0.81
21,"4&5",3.74244483441665,0.8
22,"2",3.20251815596021,0.56
22,"3",4.75335205992512,0.7
22,"4",4.64606296263165,0.84
22,"5",3.13563138288082,0.84
22,"4&5",3.80329937716447,0.81
23,"3",4.78577506474288,0.69
23,"4",4.1057483971148,0.84
23,"5",3.33075970095651,0.84
23,"4&5",3.66046245568806,0.8
24,"4",4.35002131287295,0.85
24,"5",3.5875409486408,0.83
24,"4&5",3.93688344947104,0.81
25,"2",3.33455288705384,0.57
25,"3",4.5662908680947,0.72
25,"4",4.57629580310241,0.86
25,"5",2.86120939265542,0.81
25,"4&5",4.02720175438598,0.81
26,"3",4.26289791437978,0.72
26,"4",4.47022746178859,0.86
26,"5",2.90299796412685,0.84
26,"4&5",3.75490446179807,0.81
27,"4",4.39892676767677,0.86
27,"5",3.73107096711759,0.83
27,"4&5",3.89898677050712,0.81
28,"2",3.25629543447247,0.53
28,"3",3.5823053368329,0.74
28,"4",4.51670981294889,0.81
28,"5",2.68238230833972,0.76
28,"4&5",3.8652819755461,0.74
29,"3",3.21083562901745,0.74
29,"4",4.74712047164001,0.81
29,"5",2.99640771054069,0.78
29,"4&5",3.90256730072463,0.74
30,"4",4.79691866265024,0.82
30,"5",3.82556695156687,0.75
30,"4&5",4.37014899547363,0.75
31,"2",3.09026924099419,0.53
31,"3",3.5594986290638,0.75
31,"4",4.85587971522663,0.82
31,"5",2.43151832564011,0.77
31,"4&5",3.74624978500825,0.74
32,"3",3.5798959494612,0.74
32,"4",4.77642520967627,0.82
32,"5",2.58277372276045,0.76
32,"4&5",3.83790833552576,0.74
33,"4",5.07514273883309,0.82
33,"5",3.81511025723205,0.76
33,"4&5",4.28845335877544,0.74
34,"2",3.02333646082059,0.53
34,"3",3.71305649083427,0.75
34,"4",4.59714779567535,0.82
34,"5",2.58593603230109,0.77
34,"4&5",3.83124078632871,0.75
35,"3",3.80717975206603,0.75
35,"4",4.78477796891518,0.81
35,"5",2.70294826060505,0.78
35,"4&5",4.1898900167521,0.74
36,"4",4.88044381220606,0.83
36,"5",3.9341744565372,0.75
36,"4&5",4.31691024988489,0.75
37,"2",2.81235482521157,0.64
37,"3",2.90909696455833,0.81
37,"4",3.90879067356953,0.85
37,"5",1.97507616098116,0.77
37,"4&5",3.40348289987048,0.78
38,"3",2.60290876018338,0.81
38,"4",3.83715455043756,0.84
38,"5",2.25859116613182,0.79
38,"4&5",3.3957211591548,0.77
39,"4",4.55551952639054,0.81
39,"5",2.53731660513639,0.78
39,"4&5",3.75897735366477,0.75
40,"2",2.59196417260927,0.69
40,"3",2.32328237394353,0.82
40,"4",4.41714438478337,0.83
40,"5",1.61013935301218,0.74
40,"4&5",3.81520452931859,0.77
41,"3",2.70201656144743,0.81
41,"4",3.95371675794765,0.83
