,training.set,CR,MAE,corr.cor
61,16,2,2.647565573,0.66
13,4,2,2.675381352,0.64
49,13,2,2.736000289,0.68
85,22,2,2.820975222,0.68
97,25,2,2.877522872,0.67
25,7,2,3.04130734,0.68
73,19,2,3.11436218,0.53
37,10,2,3.149288197,0.52
1,1,2,3.221103607,0.51
54,14,3,2.305425591,0.81
50,13,3,2.322559247,0.81
86,22,3,2.501905592,0.82
30,8,3,2.573019806,0.8
66,17,3,2.661182667,0.81
26,7,3,2.665441134,0.8
90,23,3,2.682447572,0.81
62,16,3,2.701255877,0.81
98,25,3,2.749216528,0.8
102,26,3,2.83600008,0.81
6,2,3,3.167222995,0.74
14,4,3,3.170634975,0.81
18,5,3,3.187331591,0.81
2,1,3,3.241935484,0.74
78,20,3,3.606416185,0.75
42,11,3,3.663822526,0.74
38,10,3,3.714382501,0.75
74,19,3,3.924364986,0.75
31,8,4,3.820769914,0.85
34,9,4,3.863509834,0.85
19,5,4,3.931085842,0.86
15,4,4,3.969784167,0.86
63,16,4,3.981295768,0.83
22,6,4,4.004227534,0.87
67,17,4,4.050364201,0.84
99,25,4,4.056123978,0.82
27,7,4,4.077702415,0.85
70,18,4,4.086980275,0.84
94,24,4,4.100777779,0.82
106,27,4,4.154216997,0.83
87,22,4,4.156440533,0.84
55,14,4,4.188438797,0.84
51,13,4,4.257630457,0.83
58,15,4,4.329312198,0.84
103,26,4,4.384409176,0.83
91,23,4,4.403566474,0.84
10,3,4,4.449644,0.82
79,20,4,4.575140618,0.82
75,19,4,4.615919741,0.81
82,21,4,4.637235669,0.81
46,12,4,4.721471852,0.81
3,1,4,4.734373433,0.81
43,11,4,4.735681454,0.81
7,2,4,4.739953814,0.81
39,10,4,4.773348045,0.81
88,22,5,1.663084817,0.76
107,27,5,1.695898009,0.77
28,7,5,1.70984212,0.75
68,17,5,1.726761701,0.77
100,25,5,1.752188759,0.77
92,23,5,1.762264979,0.76
64,16,5,1.767069222,0.77
95,24,5,1.798398169,0.77
104,26,5,1.814740128,0.77
35,9,5,1.83587776,0.76
59,15,5,1.838412237,0.74
52,13,5,1.867108186,0.76
32,8,5,1.889184164,0.77
16,4,5,1.904702091,0.77
23,6,5,1.906628686,0.78
56,14,5,1.945611629,0.73
20,5,5,1.972539733,0.78
71,18,5,2.040101701,0.78
8,2,5,2.456424975,0.77
80,20,5,2.510062184,0.78
76,19,5,2.511558455,0.78
40,10,5,2.641317216,0.77
11,3,5,2.688822773,0.77
83,21,5,2.751393776,0.77
4,1,5,2.77283951,0.76
47,12,5,2.851693717,0.77
44,11,5,2.897773462,0.76
108,27,4&5,3.246260753,0.77
36,9,4&5,3.407519538,0.79
29,7,4&5,3.436603422,0.79
24,6,4&5,3.438116511,0.79
17,4,4&5,3.454745754,0.79
72,18,4&5,3.464581546,0.78
101,25,4&5,3.480108359,0.76
33,8,4&5,3.520806039,0.78
65,16,4&5,3.540543683,0.77
60,15,4&5,3.543638677,0.77
21,5,4&5,3.581566319,0.79
89,22,4&5,3.605327828,0.77
69,17,4&5,3.623925506,0.77
93,23,4&5,3.663482426,0.77
81,20,4&5,3.665836794,0.75
5,1,4&5,3.744990462,0.74
41,10,4&5,3.748279727,0.74
12,3,4&5,3.750315049,0.74
96,24,4&5,3.780020182,0.77
53,13,4&5,3.809499361,0.77
57,14,4&5,3.835619285,0.77
9,2,4&5,3.842995273,0.74
105,26,4&5,3.847901042,0.77
77,19,4&5,3.854676766,0.75
84,21,4&5,3.890342403,0.74
45,11,4&5,3.921841565,0.74
48,12,4&5,3.975338641,0.75
