"","site.selection.param.set","regression.method","min.CR","weighting.scheme","num.CpGs"
"1",1,"glmnet",2,"none",26
"2",2,"glmnet",2,"linear",36
"3",3,"glmnet",2,"CRC",32
"4",4,"glmnet",3,"none",31
"5",5,"glmnet",3,"linear",31
"6",6,"glmnet",3,"CRC",31
"7",7,"glmnet",4,"none",46
"8",8,"glmnet",4,"linear",44
"9",9,"glmnet",4,"CRC",44
"10",10,"rfPermute",2,"none",21
"11",11,"rfPermute",2,"linear",21
"12",12,"rfPermute",2,"CRC",19
"13",13,"rfPermute",3,"none",20
"14",14,"rfPermute",3,"linear",21
"15",15,"rfPermute",3,"CRC",21
"16",16,"rfPermute",4,"none",19
"17",17,"rfPermute",4,"linear",20
"18",18,"rfPermute",4,"CRC",20
