"training.set","cost","gamma"
1,3.98107170553498,0.00501187233627272
2,1.58489319246111,0.00158489319246111
3,7.94328234724282,0.000398107170553497
4,2.51188643150958,0.0158489319246111
5,5.01187233627272,0.01
6,10,0.00398107170553497
7,3.16227766016838,0.0158489319246111
8,3.16227766016838,0.00794328234724282
9,3981.07170553498,2.51188643150958e-05
10,3.98107170553498,0.00501187233627272
11,15.8489319246111,1e-04
12,25.1188643150958,0.000125892541179417
13,2.51188643150958,0.0158489319246111
14,3.98107170553498,0.01
15,15.8489319246111,0.00316227766016838
16,3.16227766016838,0.0158489319246111
17,2.51188643150958,0.00630957344480194
18,398.107170553498,3.98107170553497e-05
19,3.98107170553498,0.00398107170553497
20,1.58489319246111,0.00158489319246111
21,19.9526231496888,0.000199526231496888
22,2.51188643150958,0.0199526231496888
23,1.99526231496888,0.00794328234724282
24,7.94328234724282,0.00398107170553497
25,2.51188643150958,0.0158489319246111
26,1.99526231496888,0.0125892541179417
27,794.328234724282,1.99526231496888e-05
