"training.set","CR","MAE","corr.cor"
1,"2",4.42756614640547,0.74
1,"3",4.83547856374653,0.74
1,"4",4.04247228465071,0.83
1,"5",2.74363743769585,0.81
1,"4&5",3.61276323243164,0.75
2,"3",4.39799969559472,0.71
2,"4",4.48759311290233,0.85
2,"5",2.15837420506141,0.81
2,"4&5",2.87887088353381,0.76
3,"4",3.2832577224681,0.86
3,"5",2.81467918898404,0.75
3,"4&5",3.12017924473759,0.78
4,"2",4.2316742351644,0.76
4,"3",2.90539889106243,0.88
4,"4",2.76560734575038,0.92
4,"5",2.56048729484186,0.83
4,"4&5",2.67221133949834,0.87
5,"3",3.40382976541391,0.86
5,"4",3.06800752613155,0.92
5,"5",2.26501956994988,0.87
5,"4&5",2.68802795306941,0.87
6,"4",2.50768068090743,0.93
6,"5",2.53815676148902,0.85
6,"4&5",2.50887958709266,0.88
7,"2",2.53635437285875,0.65
7,"3",4.22623700339435,0.74
7,"4",3.69076260222578,0.91
7,"5",2.44637362011284,0.87
7,"4&5",2.85884539899461,0.87
8,"3",5.39618103809403,0.71
8,"4",3.01298244095447,0.92
8,"5",2.27623296664965,0.89
8,"4&5",2.9420387106547,0.88
9,"4",2.34422842115867,0.96
9,"5",2.60033325687433,0.87
9,"4&5",2.56345282980925,0.94
10,"2",4.42756614640547,0.74
10,"3",4.83547856374653,0.74
10,"4",4.04247228465071,0.83
10,"5",2.74363743769585,0.81
10,"4&5",3.61276323243164,0.75
11,"3",4.06010422019991,0.7
11,"4",4.3022868775838,0.85
11,"5",2.72639961278277,0.79
11,"4&5",3.89341833250009,0.75
12,"4",3.08482033418949,0.87
12,"5",2.93701156209382,0.74
12,"4&5",3.08482033418949,0.78
13,"2",4.04844228535184,0.69
13,"3",3.16342874523302,0.88
13,"4",2.64029640100698,0.92
13,"5",2.57268535347778,0.85
13,"4&5",2.57268535347778,0.87
14,"3",3.56610356438511,0.86
14,"4",3.16996661367286,0.91
14,"5",2.12928349053222,0.88
14,"4&5",2.86499769430223,0.87
15,"4",3.03339642692803,0.92
15,"5",2.46746803795558,0.86
15,"4&5",2.68593604186986,0.89
16,"2",2.53501283652894,0.6
16,"3",4.32043553571246,0.73
16,"4",3.67451773906536,0.91
16,"5",2.50562481908349,0.87
16,"4&5",2.83852215106383,0.86
17,"3",5.18674052630053,0.73
17,"4",2.83600403187377,0.92
17,"5",2.11868647828245,0.9
17,"4&5",2.72730145257227,0.88
18,"4",2.1518482594453,0.97
18,"5",1.53344426205753,0.9
18,"4&5",1.9260017267626,0.95
19,"2",4.30296258647293,0.7
19,"3",4.20517138567061,0.74
19,"4",3.71982031679639,0.82
19,"5",2.36422841271169,0.8
19,"4&5",3.4455483187668,0.74
20,"3",4.39799969559472,0.71
20,"4",4.48759311290233,0.85
20,"5",2.15837420506141,0.81
20,"4&5",2.87887088353381,0.76
21,"4",3.14916591097798,0.87
21,"5",2.88173759088303,0.73
21,"4&5",3.04701749250811,0.79
22,"2",4.27683388876404,0.71
22,"3",2.78176102255784,0.88
22,"4",2.96647354789912,0.89
22,"5",2.23993810490026,0.83
22,"4&5",2.48145506141808,0.85
23,"3",2.89782301550308,0.86
23,"4",3.0792458027533,0.92
23,"5",1.97511329042332,0.86
23,"4&5",2.3150881117416,0.87
24,"4",2.90660957803874,0.92
24,"5",1.76495609631625,0.87
24,"4&5",2.38692727207227,0.89
25,"2",2.97388270118064,0.62
25,"3",3.96618744624467,0.74
25,"4",3.76167086532239,0.91
25,"5",2.56029539113297,0.87
25,"4&5",3.07557931467519,0.87
26,"3",4.24278887329789,0.75
26,"4",2.89028535114849,0.92
26,"5",2.10788145204794,0.88
26,"4&5",2.8544568808059,0.88
27,"4",1.78779601322828,0.97
27,"5",2.16054889474943,0.89
27,"4&5",1.99578768166187,0.95
