"i","CR","MAE","corr.cor"
1,"2",5.39289527507551,0.75
1,"3",4.5205792687976,0.83
1,"4",4.25679776149331,0.86
1,"5",2.73066531301029,0.8
1,"4&5",3.71998128167639,0.81
2,"3",2.66996756555507,0.85
2,"4",3.21769858152834,0.91
2,"5",2.24161019193517,0.84
2,"4&5",2.95115477240688,0.82
3,"4",2.80708565831089,0.9
3,"5",3.66585295776567,0.85
3,"4&5",3.34200195360837,0.8
4,"2",3.09118923102671,0.7
4,"3",3.13852817407815,0.82
4,"4",3.6207788528566,0.89
4,"5",3.29891876880439,0.79
4,"4&5",3.6207788528566,0.84
5,"3",4.19741505530154,0.81
5,"4",2.9825995491055,0.9
5,"5",3.23422381838502,0.81
5,"4&5",3.15828213205437,0.83
6,"4",2.45944613869356,0.95
6,"5",3.3404618644957,0.79
6,"4&5",3.07557237266143,0.87
7,"2",2.87802326233974,0.73
7,"3",4.42094828067307,0.84
7,"4",3.61912485997223,0.91
7,"5",3.16234972148776,0.82
7,"4&5",3.43463415173262,0.86
8,"3",3.68716809801398,0.83
8,"4",3.66019250414311,0.91
8,"5",2.87267508166622,0.81
8,"4&5",3.28022701143849,0.85
9,"4",2.38712229614374,0.95
9,"5",2.2017021562684,0.85
9,"4&5",2.31495409717717,0.9
10,"2",3.32374818043795,0.75
10,"3",3.1264173438348,0.88
10,"4",3.00859242291342,0.93
10,"5",2.3958622432785,0.85
10,"4&5",2.66592965721208,0.87
11,"3",3.08549302817127,0.86
11,"4",3.02549309225493,0.92
11,"5",2.30327415261746,0.87
11,"4&5",2.7236844809025,0.87
12,"4",2.40427435585401,0.93
12,"5",2.45948969358371,0.85
12,"4&5",2.4487690533742,0.89
13,"2",4.29285386054941,0.69
13,"3",3.19171950268528,0.88
13,"4",2.72645575254831,0.91
13,"5",2.26772317892471,0.85
13,"4&5",2.59757913369063,0.87
14,"3",3.56610356438511,0.86
14,"4",3.16996661367286,0.91
14,"5",2.12928349053222,0.88
14,"4&5",2.86499769430223,0.87
15,"4",3.19603113855845,0.92
15,"5",2.52142900068183,0.87
15,"4&5",2.87997658385097,0.89
16,"2",3.70553911279896,0.7
16,"3",3.24260383135987,0.88
16,"4",2.86109404383868,0.9
16,"5",2.32512774296188,0.85
16,"4&5",2.41691397027301,0.86
17,"3",2.89782301550308,0.86
17,"4",3.0792458027533,0.92
17,"5",1.97511329042332,0.86
17,"4&5",2.3150881117416,0.87
18,"4",2.90660957803874,0.92
18,"5",1.76495609631625,0.87
18,"4&5",2.38692727207227,0.89
19,"2",2.7305327203817,0.63
19,"3",4.48660786021859,0.73
19,"4",3.7672268101286,0.91
19,"5",2.69451842337781,0.87
19,"4&5",3.28030125353986,0.86
20,"3",5.39618103809403,0.71
20,"4",3.01298244095447,0.92
20,"5",2.27623296664965,0.89
20,"4&5",2.9420387106547,0.88
21,"4",2.34357916058343,0.96
21,"5",2.11213817241538,0.87
21,"4&5",2.30457016746464,0.94
22,"2",2.37823490701958,0.51
22,"3",4.91063575298556,0.71
22,"4",2.92650774197286,0.92
22,"5",1.93892789623771,0.89
22,"4&5",2.51576933237901,0.87
23,"3",5.18674052630053,0.73
23,"4",2.83600403187377,0.92
23,"5",2.11868647828245,0.9
23,"4&5",2.72730145257227,0.88
24,"4",2.68340841649179,0.95
24,"5",2.19328550229697,0.87
24,"4&5",2.47650666028927,0.94
25,"2",2.79913428759986,0.59
25,"3",4.70754612130335,0.72
25,"4",3.27655172502462,0.91
25,"5",2.64508526373396,0.88
25,"4&5",3.04812594405133,0.87
26,"3",5.23356657753433,0.74
26,"4",3.08272428942504,0.93
26,"5",2.26731600065498,0.9
26,"4&5",2.68388589238002,0.88
27,"4",1.85586753222456,0.97
27,"5",2.21059529499219,0.89
27,"4&5",2.0244820859162,0.95
28,"2",4.30296258647293,0.7
28,"3",4.20517138567061,0.74
28,"4",3.71982031679639,0.82
28,"5",2.36422841271169,0.8
28,"4&5",3.4455483187668,0.74
29,"3",4.39799969559472,0.71
29,"4",4.48759311290233,0.85
29,"5",2.15837420506141,0.81
29,"4&5",2.87887088353381,0.76
30,"4",3.05577857735208,0.87
30,"5",2.89865857391335,0.74
30,"4&5",3.05577857735208,0.78
31,"2",4.42756614640547,0.74
31,"3",4.83547856374653,0.74
31,"4",4.04247228465071,0.83
31,"5",2.74363743769585,0.81
31,"4&5",3.61276323243164,0.75
32,"3",4.29653161440556,0.7
32,"4",4.43823769496658,0.86
32,"5",2.53355487359188,0.8
32,"4&5",3.64263405397224,0.76
33,"4",3.34635518296709,0.86
33,"5",2.91200550657302,0.74
33,"4&5",3.08735235174733,0.78
34,"2",4.30296258647293,0.7
34,"3",4.20517138567061,0.74
34,"4",3.71982031679639,0.82
34,"5",2.36422841271169,0.8
34,"4&5",3.4455483187668,0.74
35,"3",4.32156568102906,0.72
35,"4",4.32862111632215,0.83
35,"5",1.88576921466631,0.81
35,"4&5",3.65148528196943,0.75
36,"4",3.09065282941124,0.87
36,"5",2.84876685339505,0.73
36,"4&5",3.00485375001525,0.79
37,"2",3.66621368150221,0.93
37,"3",3.3759448088418,0.84
37,"4",3.52859624027261,0.87
37,"5",3.07930984069262,0.8
37,"4&5",3.47694343344573,0.83
38,"3",3.44592606550851,0.8
38,"4",4.28472135358626,0.88
38,"5",2.42714028276172,0.86
38,"4&5",3.85612013380164,0.82
39,"4",3.76525637512442,0.84
39,"5",2.13989314905239,0.87
39,"4&5",3.11470968724775,0.84
40,"2",3.36812918251954,0.93
40,"3",3.18283049615002,0.84
40,"4",3.70632312806671,0.86
40,"5",4.08754626721374,0.72
40,"4&5",3.97537890796136,0.81
41,"3",3.16442589288473,0.81
41,"4",4.39991895669364,0.87
41,"5",3.22011201794713,0.83
41,"4&5",4.23680127041651,0.82
42,"4",4.20658083058261,0.86
42,"5",1.7469843560214,0.86
42,"4&5",3.46357321952573,0.84
43,"2",4.3735057976445,0.89
43,"3",3.45998601359095,0.75
43,"4",3.85328991792937,0.87
43,"5",3.6514061284335,0.83
43,"4&5",3.83050911164348,0.81
44,"3",3.78193917263705,0.75
44,"4",3.89738039175776,0.87
44,"5",2.95143434022612,0.85
44,"4&5",3.58804402568823,0.83
45,"4",4.2071325217012,0.86
45,"5",1.87980716011488,0.88
45,"4&5",3.02409940180077,0.83
46,"2",3.57110767131678,0.92
46,"3",3.63121154492023,0.83
46,"4",3.86153357239518,0.88
46,"5",3.0404608511327,0.83
46,"4&5",3.54086421775827,0.84
47,"3",3.59099369123882,0.79
47,"4",4.14940931013896,0.88
47,"5",2.86988729505788,0.83
47,"4&5",3.69258836492875,0.83
48,"4",3.5623657175132,0.86
48,"5",2.00708743651949,0.89
48,"4&5",2.84787712303309,0.85
49,"2",3.36812918251954,0.93
49,"3",3.18283049615002,0.84
49,"4",3.70632312806671,0.86
49,"5",4.08754626721374,0.72
49,"4&5",3.97537890796136,0.81
50,"3",3.16442589288473,0.81
50,"4",4.39991895669364,0.87
50,"5",3.22011201794713,0.83
50,"4&5",4.23680127041651,0.82
51,"4",3.72655375024911,0.86
51,"5",1.74457562614548,0.87
51,"4&5",3.31851765198537,0.85
52,"2",3.35600800445956,0.92
52,"3",3.24140495805654,0.83
52,"4",3.79655295523774,0.86
52,"5",4.11085998658893,0.73
52,"4&5",3.92966134282985,0.8
53,"3",3.29703256401289,0.8
53,"4",4.24282412638533,0.88
53,"5",3.49853979947224,0.84
53,"4&5",4.14427693320403,0.82
54,"4",4.11702122410829,0.86
54,"5",1.57377689062974,0.88
54,"4&5",3.47005662142615,0.84
55,"2",4.47724443171166,0.93
55,"3",4.13403751300451,0.8
55,"4",3.33791940922434,0.87
55,"5",3.43183585144059,0.78
55,"4&5",3.33791940922434,0.82
56,"3",3.50120998250967,0.81
56,"4",4.13392256537726,0.89
56,"5",3.35495987503715,0.86
56,"4&5",3.75241275019886,0.84
57,"4",4.38283929101778,0.86
57,"5",2.01041754270753,0.89
57,"4&5",3.38560459877354,0.85
58,"2",3.44299083122946,0.92
58,"3",3.99724928192455,0.82
58,"4",4.40625527838752,0.87
58,"5",3.23311032359735,0.79
58,"4&5",3.95121517389963,0.82
59,"3",3.14844235274055,0.8
59,"4",4.10242470792958,0.88
59,"5",2.92716897461542,0.86
59,"4&5",3.7670076363562,0.83
60,"4",4.62841052289733,0.84
60,"5",2.27760078687977,0.86
60,"4&5",3.50681519146909,0.83
61,"2",3.22716935205986,0.92
61,"3",3.90069266509726,0.83
61,"4",4.05825318123419,0.87
61,"5",3.58593248815626,0.78
61,"4&5",3.79112182781003,0.82
62,"3",3.14844235274055,0.8
62,"4",4.10242470792958,0.88
62,"5",2.92716897461542,0.86
62,"4&5",3.7670076363562,0.83
63,"4",4.86311394113851,0.84
63,"5",2.0967394805385,0.88
63,"4&5",3.55789996057442,0.83
