"training.set","cost","gamma"
1,5.01187233627272,0.00398107170553497
2,3.98107170553498,0.00398107170553497
3,25.1188643150958,0.000125892541179417
4,3.16227766016838,0.0316227766016838
5,0.794328234724282,0.0158489319246111
6,6.30957344480194,0.0125892541179417
7,10,0.0316227766016838
8,1.25892541179417,0.0199526231496888
9,2.51188643150958,0.0158489319246111
10,3.98107170553498,0.00398107170553497
11,1.99526231496888,0.00125892541179417
12,5.01187233627272,0.000501187233627273
13,2.51188643150958,0.0316227766016838
14,0.630957344480194,0.0251188643150958
15,3.16227766016838,0.0158489319246111
16,0.794328234724282,0.0316227766016838
17,1,0.0199526231496888
18,3.16227766016838,0.0199526231496888
19,3.98107170553498,0.00398107170553497
20,6.30957344480194,0.000398107170553497
21,7.94328234724282,0.000501187233627273
22,1.58489319246111,0.0398107170553497
23,1.25892541179417,0.0251188643150958
24,3.98107170553498,0.0125892541179417
25,1.99526231496888,0.0398107170553497
26,1.58489319246111,0.0158489319246111
27,2.51188643150958,0.0199526231496888
