"training.set","CR","MAE","corr.cor"
1,"2",4.30296258647293,0.7
1,"3",4.20517138567061,0.74
1,"4",3.71982031679639,0.82
1,"5",2.36422841271169,0.8
1,"4&5",3.4455483187668,0.74
2,"3",4.32156568102906,0.72
2,"4",4.32862111632215,0.83
2,"5",1.88576921466631,0.81
2,"4&5",3.65148528196943,0.75
3,"4",3.08482033418949,0.87
3,"5",2.93701156209382,0.74
3,"4&5",3.08482033418949,0.78
4,"2",3.57110767131678,0.92
4,"3",3.63121154492023,0.83
4,"4",3.86153357239518,0.88
4,"5",3.0404608511327,0.83
4,"4&5",3.54086421775827,0.84
5,"3",3.18586509291424,0.82
5,"4",4.2704215767367,0.9
5,"5",3.30416310704909,0.87
5,"4&5",3.60133265335554,0.83
6,"4",3.5623657175132,0.86
6,"5",2.00708743651949,0.89
6,"4&5",2.84787712303309,0.85
7,"2",3.90323848420753,0.95
7,"3",3.51422033524358,0.8
7,"4",3.72280678149207,0.86
7,"5",3.17079214556117,0.76
7,"4&5",3.62482178414553,0.82
8,"3",3.50120998250967,0.81
8,"4",4.13392256537726,0.89
8,"5",3.35495987503715,0.86
8,"4&5",3.75241275019886,0.84
9,"4",4.7113593168499,0.86
9,"5",1.6535533382103,0.91
9,"4&5",3.60312782407402,0.84
10,"2",4.30296258647293,0.7
10,"3",4.20517138567061,0.74
10,"4",3.71982031679639,0.82
10,"5",2.36422841271169,0.8
10,"4&5",3.4455483187668,0.74
11,"3",4.14193349831556,0.71
11,"4",4.38022327215669,0.85
11,"5",2.41092648635053,0.81
11,"4&5",3.1701366954873,0.76
12,"4",3.47567830101437,0.87
12,"5",2.62706426248209,0.76
12,"4&5",3.30082561276299,0.78
13,"2",3.36812918251954,0.93
13,"3",3.18283049615002,0.84
13,"4",3.70632312806671,0.86
13,"5",4.08754626721374,0.72
13,"4&5",3.97537890796136,0.81
14,"3",2.95093112177303,0.81
14,"4",4.53988872150984,0.87
14,"5",2.89592488338595,0.83
14,"4&5",3.99819937406335,0.82
15,"4",4.20658083058261,0.86
15,"5",1.7469843560214,0.86
15,"4&5",3.46357321952573,0.84
16,"2",3.43341287036202,0.85
16,"3",3.05726889751535,0.83
16,"4",4.23164936517716,0.88
16,"5",2.39667964786189,0.83
16,"4&5",3.4206216904676,0.83
17,"3",3.14844235274055,0.8
17,"4",4.10242470792958,0.88
17,"5",2.92716897461542,0.86
17,"4&5",3.7670076363562,0.83
18,"4",4.62841052289733,0.84
18,"5",2.27760078687977,0.86
18,"4&5",3.50681519146909,0.83
19,"2",4.30296258647293,0.7
19,"3",4.20517138567061,0.74
19,"4",3.71982031679639,0.82
19,"5",2.36422841271169,0.8
19,"4&5",3.4455483187668,0.74
20,"3",4.18929118685427,0.69
20,"4",4.08510956612969,0.86
20,"5",2.42040394721903,0.8
20,"4&5",3.52326629655576,0.76
21,"4",3.49282210046093,0.86
21,"5",2.85675475235949,0.74
21,"4&5",2.99786299643097,0.78
22,"2",3.25881731170067,0.91
22,"3",2.99964217839037,0.84
22,"4",3.95530869097424,0.85
22,"5",4.06065418766688,0.74
22,"4&5",3.96117836558976,0.8
23,"3",3.11750033360673,0.81
23,"4",4.64571415335236,0.87
23,"5",3.58169898143242,0.79
23,"4&5",4.37950693828517,0.81
24,"4",3.72655375024911,0.86
24,"5",1.74457562614548,0.87
24,"4&5",3.31851765198537,0.85
25,"2",3.47906460987942,0.93
25,"3",3.8540430030529,0.83
25,"4",3.62560213498042,0.87
25,"5",3.70148482833002,0.77
25,"4&5",3.70148482833002,0.82
26,"3",3.2554141581589,0.79
26,"4",3.58632828881049,0.88
26,"5",3.41980751879337,0.87
26,"4&5",3.58632828881049,0.84
27,"4",4.8483876541548,0.85
27,"5",2.13823404059676,0.88
27,"4&5",3.44617425451947,0.84
