CRC.id,num.samples,Excluded
HIPc116,1,X
HIPc151,2,X
HIPc338,1,X
HIPc367,2,X
HIPc379,2,X
HIPc726,1,X
HIPc015,1,
HIPc101,2,
HIPc102,2,
HIPc103,1,
HIPc105,1,
HIPc106,1,
HIPc114,2,
HIPc115,1,
HIPc117,1,
HIPc120,1,
HIPc129,2,
HIPc132,1,
HIPc133,1,
HIPc149,1,
HIPc155,1,
HIPc162,2,
HIPc164,2,
HIPc168,2,
HIPc169,1,
HIPc172,1,
HIPc173,1,
HIPc178,1,
HIPc179,1,
HIPc181,1,
HIPc190,2,
HIPc193,1,
HIPc196,1,
HIPc197,2,
HIPc198,1,
HIPc199,1,
HIPc200,1,
HIPc202,1,
HIPc203,1,
HIPc204,1,
HIPc205,1,
HIPc207,1,
HIPc208,1,
HIPc210,2,
HIPc211,1,
HIPc214,1,
HIPc216,1,
HIPc217,1,
HIPc221,1,
HIPc223,1,
HIPc230,1,
HIPc233,1,
HIPc262,1,
HIPc281,1,
HIPc282,1,
HIPc301,2,
HIPc310,1,
HIPc312,1,
HIPc313,2,
HIPc320,2,
HIPc351,1,
HIPc352,1,
HIPc359,1,
HIPc363,1,
HIPc365,1,
HIPc369,1,
HIPc375,1,
HIPc376,1,
HIPc382,1,
HIPc384,1,
HIPc391,1,
HIPc392,1,
HIPc397,1,
HIPc508,1,
HIPc578,1,
HIPc692,1,
HIPc699,1,
HIPc700,1,
HIPc704,1,
HIPc714,1,
