"","TET2","FLJ0945","DIRAS3","VGF","HMG20B","KCNC4","PRDM12","GRIA2"
"z0018943",1863.3,2229,5011.07142857143,3083.77142857143,1453.36842105263,6050.8,2943.325,2712.66666666667
"z0018944",923.4,1103.4,2347.5,1327.25714285714,715.157894736842,2171.575,1115.675,1405.53333333333
"z0018945",1639.9,2463.95,3876.25,4170.74285714286,2033,4975.425,2591.525,3031.66666666667
"z0023316",1593.9,1464.75,3229.96428571429,2276.62857142857,925.368421052632,2845.725,1432.525,1913.26666666667
"z0023317",1434.9,3242.7,3088.60714285714,2412.74285714286,1336.21052631579,3626.6,1635.45,2498.26666666667
"z0023318",1534.5,2250.3,3562.17857142857,5168.34285714286,1954.05263157895,3382.15,1635.025,1855.06666666667
"z0023319",2048.1,3033.8,5147.71428571429,5377.51428571429,2613.36842105263,5750,2294.075,2777.06666666667
"z0023321",1428.1,1465.55,2307,2159.4,1397.63157894737,3171.875,1039.525,1754.26666666667
"z0027453",4311.9,4387.2,6170.89285714286,6750.91428571429,4271,6728.875,4763.575,5052.6
"z0027455",1943.7,2867.5,5165.10714285714,5731.05714285714,1747.21052631579,5555.6,3031.875,3828.13333333333
"z0030072",621.6,508.05,1173.17857142857,938.542857142857,464.210526315789,986.975,323.125,695.666666666667
"z0030073",1125.1,843.2,923.25,588.228571428571,471.947368421053,1186.05,56.475,1125.46666666667
"z0033888",1008.8,1193.7,2630.75,3644.02857142857,1257.63157894737,2488.35,1120.25,1232.06666666667
"z0033893",2220,2006.8,4783.71428571429,3554.2,2463.63157894737,4397.875,2318.225,2501.13333333333
"z0033898",1136.4,1444.45,3184.42857142857,3979.45714285714,1654.47368421053,2599.875,1382.575,1328.73333333333
"z0033906",1999.6,2540.3,5141.75,3865.51428571429,1946.42105263158,5497.1,2244.35,2603.73333333333
"z0033908",2468.3,2894.65,5435.57142857143,4797.45714285714,3750.36842105263,5775.55,2419.225,3246.93333333333
"z0041286",2280.5,2653.15,2880.42857142857,3798.17142857143,1969.73684210526,4654.025,1536.125,2653.93333333333
"z0045921",1786.8,1852.8,3905.46428571429,2616.57142857143,1559.21052631579,4229.95,1639.9,2095.93333333333
"z0045925",1839.8,2070.6,5031.03571428571,3867.51428571429,2441.21052631579,5118.05,2042.85,3062.2
"z0045928",2859,3154.6,5376.64285714286,4786.4,2848.42105263158,6382.825,3316.925,3382.33333333333
"z0045931",1686.4,1950.35,3473.89285714286,3672.05714285714,2209.78947368421,4144.2,1995.525,2196.2
"z0049046",1261.3,1898.2,3920.92857142857,5285.71428571429,2263.36842105263,5121.375,2276.05,1740.66666666667
"z0049048",2452,3084.65,5553.60714285714,4215.31428571429,3148.47368421053,5143.525,2636.4,3561.86666666667
"z0049050",1514,1706.2,2891.92857142857,2156.25714285714,1554.42105263158,2896.975,1363.825,1951.4
"z0049051",2021.2,2329.4,3580.07142857143,3364.82857142857,2202.73684210526,4537.375,1873.7,2648.13333333333
"z0049052",1843.4,1675.85,3987.28571428571,3517.6,1578.73684210526,5122.675,2496,1705.73333333333
"z0049054",398.8,521.4,1402.5,695.571428571429,253.526315789474,1314.85,449.225,391.2
"z0061425",1808.6,2099.45,4095.25,3244.11428571429,1991.84210526316,4645.125,1570.1,2318.66666666667
"z0071016",2226.7,2326.75,4845.03571428571,3804.08571428571,2450.94736842105,4312.075,2240.4,2940.66666666667
"z0075660",2179.6,2905.55,5279.75,5509.6,2603.15789473684,5615.775,3584.025,2897.53333333333
"z0075663",1087.1,1477.2,4199.92857142857,3464.82857142857,3936.15789473684,4956.125,4453.4,1804.8
"z0075665",2116.8,2170.45,3702.03571428571,5816.42857142857,2506.84210526316,4493.9,1960.975,3143.53333333333
"z0075676",1872.4,2133.25,3106.21428571429,3031.48571428571,2002.89473684211,4238.65,1829.725,2392.26666666667
"z0075677",1609,2462,3884.07142857143,3072.68571428571,2258.31578947368,5073.15,1657.5,3801.2
"z0075678",997.9,1865.95,3336.28571428571,2959.22857142857,2004.94736842105,4051.4,1869.175,1681.4
"z0091082",2234.1,3016.95,4045.53571428571,3381.94285714286,2857.94736842105,5574.45,2555.9,3238.6
"z0091085",825.2,1260.8,1197.71428571429,2486.51428571429,761.894736842105,1650.125,762.3,1169.86666666667
"z0091086",2982.3,4025.9,5521.53571428571,5364.37142857143,2163.26315789474,5033.15,171.225,4339.33333333333
"z0091275",1035,898.45,1851.92857142857,1218.77142857143,893.157894736842,2627.5,899.175,1485.6
"z0091276",2040.2,2191.7,4964.25,4373.91428571429,2271.15789473684,5447.15,2606.3,3962.73333333333
"z0091277",2042.2,2455.4,3301.32142857143,3987.05714285714,2296.84210526316,4477.575,2000.475,3055.46666666667
"z0091284",2131.9,2541.3,5477.46428571429,4187.6,2324.94736842105,6264.1,2885.775,2523.13333333333
"z0091285",707.4,1090.1,1845.96428571429,1833.48571428571,981.368421052632,2058.55,938.05,1052.2
"z0091286",1356.8,1855.3,2433.14285714286,1879.48571428571,1505.94736842105,2733.775,1456.975,2134.4
"z0092243",2024.5,2825.1,3368.07142857143,3444.8,1902.15789473684,4105.3,1811.25,2916.8
"z0092256",1612.8,2123.4,2815.57142857143,4566.34285714286,1577.68421052632,3098.125,2065.325,2435.66666666667
"z0098734",1997.7,2392.75,4228.39285714286,5342.51428571429,1646.73684210526,5101.8,2081.1,3102.46666666667
"z0098735",3198.7,3148.6,5659.07142857143,5721.2,3485.47368421053,5333.6,4521.15,4395.26666666667
"z0098736",1414.6,1585.7,4170.03571428571,3596.68571428571,1117.10526315789,4447.75,1574.975,1934.93333333333
"z0098737",630.2,1504.95,1215.46428571429,5221.68571428571,3323.84210526316,4445.825,2991.925,2370.73333333333
"z0098738",2234.8,2486.95,5197,3335.51428571429,2055.78947368421,5922.575,2755.725,2723.06666666667
"z0098740",1563.4,1517.3,4398.57142857143,1995.8,1602.26315789474,4992.15,1474.725,1575
"z0098744",4679.4,3537.45,5899.10714285714,4080.8,3639,6204.55,3425.975,4806.26666666667
"z0098745",1916.8,2279,4762.71428571429,1813.57142857143,1668.84210526316,5140.15,1970.2,2517.86666666667
"z0098746",3129.1,3144.3,5363.21428571429,3611.42857142857,4023,6130.925,2966.875,4009.86666666667
"z0102483",1661.5,2255.6,4338.17857142857,4151.88571428571,1307.31578947368,3584.5,1692.625,2150.13333333333
"z0102484",3249.3,3175.8,5468.17857142857,5646.34285714286,3794.47368421053,5497.65,3477.975,4551.33333333333
"z0102485",3472.4,3048.05,5465.96428571429,5427.94285714286,3980,5805.1,3683.5,4128
"z0102500",2189.6,2084.7,5077.71428571429,2533.37142857143,2591.31578947368,4540.05,2524.4,2721
"z0123188",2230.6,1975.95,5079.64285714286,2684.08571428571,2738.68421052632,5339.425,2835.075,3169.6
"z0132631",2233.5,2187.95,5008,1968.85714285714,2295,5105.925,2287.375,2686.46666666667
"z0132632",579.6,657.1,2866.85714285714,1289.91428571429,1584.31578947368,2173.15,630.45,730.266666666667
"z0132634",3760.5,2492.9,5450.46428571429,5153.65714285714,1956.36842105263,5404.425,3963.075,2988.8
"z0132639",1757.1,1239.2,5076.07142857143,5148.34285714286,3239.68421052632,6385.1,3761.45,2438.53333333333
"z0132641",1366.7,1593.6,4667.85714285714,4241.14285714286,4490.42105263158,4537.875,2489.95,2005.86666666667
"z0132642",2700.9,2418.2,3786.35714285714,3276.91428571429,2608.57894736842,5419.375,2557.925,3230.4
"z0132658",2024.1,2502.25,4499.89285714286,4464.94285714286,1895,5002.725,2317.475,2899.46666666667
"z0132659",3646.6,2339.4,5160.25,4324.71428571429,2949.15789473684,5232.475,2973.3,3055.26666666667
"z0132660",1318.3,1300.8,3654.07142857143,3284.94285714286,1651.89473684211,5493.15,1880.85,1877.2
"z0132662",4.85714285714286,11.2666666666667,16.9285714285714,21.4285714285714,8.26315789473684,20.4324324324324,5.05263157894737,8.66666666666667
