Locus,Position,Coefficient
(Intercept),,1.569902476
DIRAS3,82,3.863608326
DIRAS3,102,0.585308148
FLJ0945,155,-341.6024593
FLJ0945,236,25.03838503
GRIA2,89,37.08744071
GRIA2,91,14.21088608
GRIA2,95,16.99333959
GRIA2,106,26.40991772
GRIA2,231,5.493739799
HMG20B,111,-67.19149408
HMG20B,141,-28.26180104
HMG20B,165,-6.514187024
HMG20B,168,-53.44540645
HMG20B,281,352.9527689
KCNC4,97,5.826184213
KCNC4,272,15.86618173
PRDM12,29,8.079623459
PRDM12,292,-0.244398686
PRDM12,295,39.07560375
PRDM12,43,80.4212563
PRDM12,67,34.1929759
PRDM12,312,23.6290576
PRDM12,316,4.91705482
TET2,151,-15.22840148
VGF,79,465.2160451
VGF,84,-78.78503114
VGF,172,135.8293944
VGF,194,369.2242259
VGF,230,295.76123
VGF,232,54.88829219
VGF,330,-74.08533046
